Event ID,Station-Unit,Start Date,Cause Code Name,IsRepeat,TimeBetweenFailure
137721,Marshall Steam-1,6/30/07 20:56,Waterwall (Furnace wall) A,TRUE,355.9333333
137731,Marshall Steam-1,7/30/07 11:18,Waterwall (Furnace wall) A,TRUE,710.3666667
137735,Marshall Steam-1,8/10/07 23:55,Waterwall (Furnace wall) A,TRUE,276.6166667
137737,Marshall Steam-1,8/17/07 21:12,Waterwall (Furnace wall) A,TRUE,165.2833333
137763,Marshall Steam-2,3/28/07 22:40,Waterwall (Furnace wall) A,TRUE,5781.15
137765,Marshall Steam-2,4/17/07 13:28,Waterwall (Furnace wall) A,TRUE,470.8
137770,Marshall Steam-2,5/19/07 13:39,First superheater B,FALSE,
137779,Marshall Steam-2,6/5/07 9:08,Waterwall (Furnace wall) A,FALSE,
137797,Marshall Steam-2,6/28/07 0:38,Waterwall (Furnace wall) A,TRUE,543.5
137835,Marshall Steam-2,9/3/07 23:59,Waterwall (Furnace wall) A,TRUE,1631.35
137860,Marshall Steam-3,4/5/07 23:09,First reheater A,FALSE,
137871,Marshall Steam-3,5/13/07 10:20,Waterwall (Furnace wall) A,FALSE,
137881,Marshall Steam-3,7/10/07 8:07,Waterwall (Furnace wall) A,TRUE,1389.783333
137888,Marshall Steam-3,8/17/07 23:15,Waterwall (Furnace wall) A,TRUE,927.1333333
137894,Marshall Steam-4,1/24/07 15:31,First reheater A,FALSE,
137925,Marshall Steam-4,7/2/07 16:26,Waterwall (Furnace wall) A,FALSE,
137937,Marshall Steam-4,8/24/07 20:50,Waterwall (Furnace wall) A,TRUE,1276.4
137939,Marshall Steam-4,9/2/07 2:00,Waterwall (Furnace wall) A,TRUE,197.1666667
139718,Gibson Steam-4,9/20/07 7:09,First reheater A,TRUE,7036.05
139719,Gibson Steam-4,9/20/07 10:50,First reheater A,TRUE,3.683333333
139720,Gibson Steam-4,9/22/07 14:16,First reheater A,TRUE,51.43333333
139788,Belews Creek Steam-2,9/25/07 20:40,Second reheater B,FALSE,
139795,W.S. Lee Steam-3,9/15/07 0:01,Waterwall (Furnace wall) A,TRUE,226.4333333
139996,Allen Steam-4,9/28/07 11:23,Waterwall (Furnace wall) A,TRUE,733.9333333
140196,Gallagher Steam-4,9/27/07 11:54,First superheater B,TRUE,905.2333333
141692,Gibson Steam-3,10/3/07 15:12,First reheater A,FALSE,
141693,Gibson Steam-3,10/3/07 17:10,First reheater A,TRUE,1.966666667
141694,Gibson Steam-3,10/5/07 1:43,First reheater A,TRUE,32.55
141701,Gibson Steam-5,10/7/07 8:28,First reheater A,FALSE,
141702,Gibson Steam-5,10/7/07 10:30,First reheater A,TRUE,2.033333333
142099,Allen Steam-5,10/14/07 17:00,Economizer B,FALSE,
142117,W.S. Lee Steam-3,10/22/07 2:29,Waterwall (Furnace wall) A,TRUE,890.4666667
142136,Gibson Steam-2,10/15/07 15:13,First superheater B,FALSE,
142137,Gibson Steam-2,10/15/07 16:38,First superheater B,TRUE,1.416666667
142139,Gibson Steam-2,10/19/07 3:43,First superheater B,TRUE,83.08333333
142145,Gibson Steam-5,10/8/07 22:43,First reheater A,TRUE,36.21666667
142146,Gibson Steam-5,10/12/07 16:43,First reheater A,TRUE,90
142147,Gibson Steam-5,10/12/07 19:35,First reheater A,TRUE,2.866666667
142148,Gibson Steam-5,10/13/07 22:18,First reheater A,TRUE,26.71666667
142242,Gibson Steam-4,10/23/07 23:34,Waterwall (Furnace wall) A,FALSE,
142243,Gibson Steam-4,10/30/07 6:54,Waterwall (Furnace wall) A,TRUE,151.3333333
142280,Cayuga Steam-1,10/29/07 9:20,Waterwall (Furnace wall) A,TRUE,3062.733333
