"Nominal Thickness (inches)","Height/Length","# of Tubes","Tube OD","C2C","Inspection Asset Component Name","Inspection Service","Robot","Inspection: Start Date","Inspection: End Date","Asset: Asset Name","Asset Component Name"
"0.1200","25.0000","20","3.2500","5.3750","Front Waterwall - RUG","RUG","TOKA 4","","","U2","Front Waterwall"
"0.1200","32.0000","36","3.2500","5.3750","Left Waterwall - RUG","RUG","TOKA 4","","","U2","Left Waterwall"
"0.1200","22.0000","20","3.2500","5.3750","Rear Waterwall - RUG","RUG","TOKA 4","","","U2","Rear Waterwall"
"0.1200","32.0000","36","3.2500","5.3750","Right Waterwall - RUG","RUG","TOKA 4","","","U2","Right Waterwall"
"0.2400","160.0000","203","2.5000","3.0000","Left Side Wall - RUG","RUG","TOKA 4","10/4/2022","10/7/2022","U3","Left Side Wall"
"0.2400","160.0000","203","2.5000","3.0000","Right Side Wall - RUG","RUG","TOKA 4","10/4/2022","10/7/2022","U3","Right Side Wall"
"0.2840","","","2.5000","3.0000","Coutant Slopes - RUG","RUG","TOKA 4","3/14/2022","3/20/2022","Unit 1","Coutant Slopes"
"0.2400","80.0000","168","2.2500","2.0000","Curtain Wall - RUG","RUG","TOKA 4","9/19/2022","9/22/2022","Unit 1","Curtain Wall"
"0.2400","80.0000","168","2.2500","2.0000","Curtain Wall - RUG","RUG","TOKA 3","9/19/2022","9/22/2022","Unit 1","Curtain Wall"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #1"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #10"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #11"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #12"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #2"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #3"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #4"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #5"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #6"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #7"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #8"
"0.1650","47.0000","52","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Evaporator Panels #9"
"0.2840","","","2.5000","3.0000","Front/Rear Walls - RUG","RUG","TOKA 4","3/14/2022","3/20/2022","Unit 1","Front/Rear Walls"
"0.2840","","","2.5000","3.0000","Front/Rear Walls - Ultrasonic Testing (UT)","Ultrasonic Testing (UT)","N/A","3/14/2022","3/20/2022","Unit 1","Front/Rear Walls"
"0.2000","88.5000","174","2.5000","3.5000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Front Wall"
"0.1880","75.0000","408","1.7500","2.1250","Front Wall - RUG","RUG","TOKA 4","9/19/2022","9/22/2022","Unit 1","Front Wall"
"0.2000","88.5000","86","2.5000","3.5000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Left Side Wall"
"0.1880","90.0000","196","1.7500","2.1250","Left Wall - RUG","RUG","TOKA 4","9/19/2022","9/22/2022","Unit 1","Left Wall"
"0.2840","","","2.5000","3.0000","Lower Nose Arch - RUG","RUG","TOKA 4","3/14/2022","3/20/2022","Unit 1","Lower Nose Arch"
"","41.0000","520","1.7500","","Outlet Header - Manual","Ultrasonic Testing (UT)","N/A","3/14/2022","3/20/2022","Unit 1","Outlet Header"
"0.2000","88.5000","174","2.5000","3.5000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Rear Wall"
"0.1880","75.0000","408","1.7500","2.1250","Rear Wall - RUG","RUG","TOKA 4","9/19/2022","9/22/2022","Unit 1","Rear Wall"
"0.2000","88.5000","86","2.5000","3.5000","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Right Side Wall"
"0.1880","90.0000","196","1.7500","2.1250","Right Wall - RUG","RUG","TOKA 4","9/19/2022","9/22/2022","Unit 1","Right Wall"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #1"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #2"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #3"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #4"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #5"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #6"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #7"
"0.1800","50.5000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Panel - lower 20 #8"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #1"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #2"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #3"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #4"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #5"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #6"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #7"
"0.1800","45.3000","40","1.7500","2.2500","FILLER - RUG","RUG","TOKA 4","8/30/2022","9/1/2022","Unit 1","Vert Superheater Penel - upper 20 #8"
"0.2600","60.0000","83","3.0000","3.0000","Front Wall Inspection","RUG","TOKA 4","","","Unit 121","Front Wall"
"0.2600","46.0000","83","3.0000","3.0000","Rear Wall Inspection","RUG","TOKA 4","","","Unit 121","Rear Wall"
"0.2600","60.0000","83","3.0000","3.0000","Front Wall Inspection","RUG","TOKA 4","","","Unit 122","Front Wall"
"0.2600","20.0000","83","3.0000","3.0000","Front Wall Slope Inspection","RUG","TOKA 4","","","Unit 122","Lower Slope"
"0.2600","20.0000","83","3.0000","3.0000","Rear Wall Lower Slope","RUG","TOKA 4","","","Unit 122","Lower Slope"
"0.2600","46.0000","83","3.0000","3.0000","Rear Wall Inspection","RUG","TOKA 4","","","Unit 122","Rear Wall"
"0.2600","75.0000","83","3.0000","3.0000","Right Side Wall Inspection","RUG","TOKA 4","","","Unit 122","Side Wall"
"0.2600","75.0000","83","3.0000","3.0000","Left Side Wall Inspection","RUG","TOKA 4","","","Unit 122","Side Wall"
"","40.0000","181","2.7500","3.0000","East (Side) Wall UT Thickness","RUG","TOKA 4","4/19/2022","4/20/2022","Unit 1 Boiler","East (Side) Wall"
"0.2800","","","3.0000","3.0313","Front & Rear Walls - RUG","RUG","","11/15/2021","11/16/2021","Unit 1 Boiler","Front & Rear Walls"
"","40.0000","184","2.7500","3.0000","Front Wall UT Thickness","RUG","TOKA 4","4/19/2022","4/20/2022","Unit 1 Boiler","Front Wall"
"0.2800","50.0000","191","2.7500","3.2500","FILLER - RUG","RUG","TOKA 4","5/23/2022","5/23/2022","Unit 1 Boiler","Left Side Waterwall"
"","40.0000","184","2.7500","3.0000","Rear Wall UT Thickness","RUG","TOKA 4","4/19/2022","4/20/2022","Unit 1 Boiler","Rear Wall"
"0.2800","50.0000","191","2.7500","3.2500","FILLER - RUG","RUG","TOKA 4","5/23/2022","5/23/2022","Unit 1 Boiler","Right Side Waterwall"
"0.2800","","","3.0000","3.0313","Side Walls - RUG","RUG","","11/15/2021","11/16/2021","Unit 1 Boiler","Side Walls"
"","35.0000","","2.0000","","PAUT Cold Side Cracking - Inspection Method","Phased Array Ultrasonic Testing (PAUT)","N/A","5/4/2022","5/5/2022","Unit 1 Boiler","Slope - Dead air space"
"","40.0000","181","2.7500","3.0000","West (Side) Wall UT Thickness","RUG","TOKA 4","4/19/2022","4/20/2022","Unit 1 Boiler","West (Side) Wall"
"0.2030","34.0000","472","1.1875","1.7500","Front Slope - RUG","RUG","TOKA 4","10/4/2022","10/6/2022","Unit 1 - POC Boiler","Front Slope"
"0.2500","60.0000","104","1.1875","1.7500","Left Side Waterwall - POC - RUG","RUG","TOKA 4","10/4/2022","10/6/2022","Unit 1 - POC Boiler","Left Side Waterwall - POC"
"0.2500","60.0000","104","1.1875","1.7500","Left Side Waterwall - POC - Magnetic Induction","Magnetic Induction","TOKA 3 - MLO","10/4/2022","10/6/2022","Unit 1 - POC Boiler","Left Side Waterwall - POC"
"0.2030","34.0000","472","1.1875","1.7500","Rear Slope - RUG","RUG","TOKA 4","10/4/2022","10/6/2022","Unit 1 - POC Boiler","Rear Slope"
"0.0000","","","2.9688","0.0000","Division Wall - RUG","RUG","","","","Unit 2","Division Wall"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #1 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #1"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #10 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #10"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #11 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #11"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #12 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #12"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #2 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #2"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #3 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #3"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #4 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #4"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #5 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #5"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #6 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #6"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #7 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #7"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #8 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #8"
"0.1650","47.0000","52","2.5000","3.0000","Evaporator Panels #9 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Evaporator Panels #9"
"0.2550","65.0000","332","2.5000","3.0000","Front/Rear","RUG","TOKA 4","3/27/2022","3/30/2022","Unit 2","Front/Rear"
"0.2550","65.0000","332","2.5000","3.0000","Handheld","Ultrasonic Testing (UT)","N/A","3/27/2022","3/30/2022","Unit 2","Front/Rear"
"0.2000","88.5000","174","2.5000","3.5000","Front Wall - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Front Wall"
"1.0000","33.0000","1","12.7500","","FILLER - Phased Array Ultrasonic Testing (PAUT)","Phased Array Ultrasonic Testing (PAUT)","N/A","5/12/2022","5/12/2022","Unit 2","Front Wall Header"
"0.2000","88.5000","86","2.5000","3.5000","Left Side Wall - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Left Side Wall"
"0.2000","88.5000","174","2.5000","3.5000","Rear Wall - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Rear Wall"
"0.2000","88.5000","86","2.5000","3.5000","Right Side Wall - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Right Side Wall"
"0.2550","65.0000","190","2.5000","3.0000","Sidewalls","RUG","TOKA 4","3/27/2022","3/30/2022","Unit 2","Sidewalls"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #1 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #1"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #2 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #2"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #3 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #3"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #4 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #4"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #5 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #5"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #6 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #6"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #7 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #7"
"0.1800","50.5000","40","1.7500","2.2500","Vert Superheater Panel - lower 20 #8 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Panel - lower 20 #8"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #1 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #1"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #2 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #2"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #3 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #3"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #4 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #4"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #5 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #5"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #6 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #6"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #7 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #7"
"0.1800","45.3000","40","1.7500","2.2500","Vert Superheater Penel - upper 20 #8 - RUG","RUG","TOKA 4","10/15/2022","10/21/2022","Unit 2","Vert Superheater Penel - upper 20 #8"
"0.2800","50.0000","191","2.7500","3.2500","FILLER - RUG","RUG","TOKA 4","","","Unit 2 Boiler","Left Side Waterwall"
"0.2800","50.0000","191","2.7500","3.2500","FILLER - RUG","RUG","TOKA 4","","","Unit 2 Boiler","Right Side Waterwall"
"0.2030","130.0000","230","1.7500","2.2500","Right Side Wall Inspection","RUG","TOKA 4","3/20/2022","3/21/2022","Unit 2 Boiler","Side Wall"
"0.2030","130.0000","230","1.7500","2.2500","Left Side Wall Inspection","RUG","TOKA 4","3/20/2022","3/21/2022","Unit 2 Boiler","Side Wall"
"0.3000","45.0000","784","2.5000","3.5000","Evap Panels - RUG","RUG","TOKA 4","3/28/2023","3/30/2023","Unit 3","Evap Panels"
"0.2600","90.0000","540","2.5000","3.5000","Front/Rear Wall - RUG","RUG","TOKA 4","3/28/2023","3/30/2023","Unit 3","Front/Rear Wall"
"0.2650","30.0000","207","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","9/21/2022","9/21/2022","Unit 3","Front Slope"
"0.3000","25.0000","270","2.5000","3.5000","Roof - RUG","RUG","TOKA 4","3/28/2023","3/30/2023","Unit 3","Roof"
"0.1700","45.0000","880","1.7500","2.3800","SH Panels - RUG","RUG","TOKA 4","3/28/2023","3/30/2023","Unit 3","SH Panels"
"0.2600","90.0000","172","2.5000","3.5000","Side Walls - RUG","RUG","TOKA 4","3/28/2023","3/30/2023","Unit 3","Side Walls"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 1 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 1"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 1 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 1"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 2 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 2"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 2 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 2"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 3 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 3"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 3 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 3"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 4 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 4"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 4 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 4"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 5 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 5"
"0.3800","54.0000","109","2.0000","2.2500","Division Wall 5 - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Division Wall 5"
"0.0000","","","2.5000","0.0000","Front & Rear Walls - RUG","RUG","","","","Unit 3 Boiler","Front & Rear Walls"
"0.2500","31.0000","336","2.5000","3.0000","Front Slope - RUG","RUG","TOKA 4","","","Unit 3 Boiler","Front Slope"
"0.2450","31.0000","191","2.7500","3.7500","Front Slope - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Front Slope"
"0.2450","143.0000","191","2.7500","3.7500","Front Wall - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Front Wall"
"0.2500","141.2000","159","2.5000","3.0000","Left Wall - RUG","RUG","TOKA 4","","","Unit 3 Boiler","Left Wall"
"0.2450","143.0000","134","2.7500","3.7500","Left Wall - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Left Wall"
"2.7500","22.0000","191","2.7500","3.7500","Lower Bullnose - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Lower Bullnose"
"0.0000","","","2.5000","0.0000","Lower Slopes - RUG","RUG","","11/17/2021","11/19/2021","Unit 3 Boiler","Lower Slopes"
"0.0000","","","2.5000","0.0000","Lower Slopes - RUG","RUG","","11/17/2021","11/19/2021","Unit 3 Boiler","Lower Slopes"
"0.2500","31.0000","336","2.5000","3.0000","Rear Slope - RUG","RUG","TOKA 4","","","Unit 3 Boiler","Rear Slope"
"0.2450","31.0000","191","2.7500","3.7500","Rear Slope - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Rear Slope"
"0.2450","87.0000","191","2.7500","3.7500","Rear Wall - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Rear Wall"
"0.2450","143.0000","134","2.7500","3.7500","Right Wall - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Right Wall"
"2.7500","26.0000","191","2.7500","3.7500","Upper Bullnose - RUG","RUG","TOKA 4","3/12/2023","3/16/2023","Unit 3 Boiler","Upper Bullnose"
"0.3000","25.0000","270","2.5000","3.5000","Boiler Roof - RUG","RUG","","","","Unit 4","Boiler Roof"
"0.3000","25.0000","270","2.5000","3.5000","Boiler Roof - RUG","RUG","TOKA 4","10/17/2023","10/19/2023","Unit 4","Boiler Roof"
"0.3000","45.0000","784","2.5000","3.5000","Evaporator Panels - RUG","RUG","","","","Unit 4","Evaporator Panels"
"0.3000","45.0000","784","2.5000","3.5000","Evaporator Panels - RUG","RUG","TOKA 4","10/17/2023","10/19/2023","Unit 4","Evaporator Panels"
"0.2380","151.0000","656","1.2500","1.7500","Front Wall","RUG","TOKA 4","8/8/2022","8/13/2022","Unit 4","Front Wall"
"0.2380","85.0000","656","1.2500","1.7500","Rear Wall","RUG","TOKA 4","8/8/2022","8/13/2022","Unit 4","Rear Wall"
"0.2380","170.0000","592","1.2500","1.7500","Side Walls","RUG","TOKA 4","8/8/2022","8/13/2022","Unit 4","Side Walls"
"0.1700","45.0000","880","1.7500","2.3750","Superheater Elements - RUG","RUG","","","","Unit 4","Superheater Elements"
"0.1700","45.0000","880","1.7500","2.3750","Superheater Elements - RUG","RUG","TOKA 4","10/17/2023","10/19/2023","Unit 4","Superheater Elements"
"0.2600","90.0000","712","2.5000","3.5000","Sidewalls - RUG","RUG","","","","Unit 4","Waterwalls"
"0.2600","90.0000","712","2.5000","3.5000","Front/Rear - RUG","RUG","","","","Unit 4","Waterwalls"
"0.2600","90.0000","712","2.5000","3.5000","Sidewalls - RUG","RUG","","","","Unit 4","Waterwalls"
"0.2600","90.0000","712","2.5000","3.5000","Waterwalls - RUG","RUG","TOKA 4","10/17/2023","10/19/2023","Unit 4","Waterwalls"
"0.2400","","","2.9690","3.0000","Unit 4 Division wall Inspection both sides 3 Angles  - RUG","RUG","","11/19/2021","11/19/2021","Unit 4 Division Wall","Division Wall"
"0.2660","23.0000","215","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Front Wall Lower Slope"
"0.2030","106.0000","215","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Front Waterwall"
"0.2030","123.0000","127","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Left Side Waterwall"
"0.2660","23.0000","215","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Rear Wall Lower Slope"
"0.2030","67.0000","215","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Rear Waterwall"
"0.2030","123.0000","127","2.5000","3.0000","FILLER - RUG","RUG","TOKA 4","","","Unit 4 - Whole Boiler","Right Side Waterwall"
"","30.0000","87","2.2500","3.0000","RUG - Front Wall","RUG","TOKA 4","3/10/2022","3/11/2022","Wygen - U2","U2 - Front Wall"
"0.2200","30.0000","135","2.2500","3.0000","RUG - Left Sidewall","RUG","TOKA 4","3/10/2022","3/11/2022","Wygen - U2","U2 - Left Sidewall"
"","30.0000","87","2.2500","3.0000","RUG - Front Wall","RUG","TOKA 4","3/10/2022","3/11/2022","Wygen - U2","U2 - Rear Wall"
"","30.0000","135","2.2500","3.0000","RUG - Right Sidewall","RUG","TOKA 4","3/10/2022","3/11/2022","Wygen - U2","U2 - Right Sidewall"
"","","","","","Burner Corner Walls","Ultrasonic Testing (UT)","N/A","3/22/2022","3/24/2022","Yates 7","Burner Corner Walls"
"","","","","","Lower Nose Arch","RUG","TOKA 4","3/22/2022","3/24/2022","Yates 7","Lower Nose Arch"
"","","","","","Upper Nose Arch","RUG","TOKA 4","3/22/2022","3/24/2022","Yates 7","Upper Nose Arch"
