,slug,nominal,min_t,max_t,tubes_inspected,bins_collected,critical_tubes,critical_bins
142,20220103-955c1a,0.22,0.11947999894618988,0.40483999252319336,494,148238,248,902
143,20220103-9bb72f,0.22,0.1565999984741211,0.4663200080394745,412,11212,0,0
144,20220101-cd6975,6.096,2.9200000762939453,10.880000114440918,142,10927,125,1020
145,20211213-a02de4,0.18,0.1345600038766861,0.2630000114440918,345,14363,0,0
146,20211204-2a4dad,0.25,5.2740559577941895,11.873991966247559,188,43840,0,0
147,20211204-ed0977,0.25,5.33298397064209,12.581127166748047,188,43550,0,0
148,20211129-b7301c,0.28,0.23999999463558197,0.32943999767303467,85,1678,0,0
149,20211201-3396ee,6.096,2.4600000381469727,10.449999809265137,142,11307,133,1339
150,20211201-17434b,0.25,0.3723599910736084,0.4257200062274933,24,178,0,0
151,20211130-ec3e26,0.25,0.36423999071121216,0.4373199939727783,31,262,0,0
152,20211129-71acac,0.28,0.14499999582767487,0.3375599980354309,157,17448,5,10
153,20211129-8e0bf4,0.4,0.1720000058412552,0.468639999628067,55,3034,7,9
154,20211129-252f67,0.4,0.36772000789642334,0.46748000383377075,31,271,0,0
155,20211227-db8fa3,0.24,0.0846799984574318,0.40483999252319336,58,5424,11,36
156,20211115-224d14,0.1875,0.08235999941825867,0.22156000137329102,139,2922,95,472
157,20211115-4649e9,0.165,0.0626399964094162,0.2853600084781647,305,5199,299,892
158,20211115-67ad16,0.165,0.08900000154972076,0.19499999284744263,31,177,16,32
159,20211115-9d8404,0.28,0.1032399982213974,0.33640000224113464,151,21904,105,1017
160,20211115-4ae943,0.2,0.06728000193834305,0.2818799912929535,204,33861,202,5848
161,20211115-b107fb,0.25,0.13920000195503235,0.228520005941391,87,6273,86,5878
162,20211110-94db67,8.128,6.953503608703613,11.638279914855957,144,25730,0,0
163,20211109-5c2840,0.25,0.07423999905586243,0.4338400065898895,260,75257,253,6123
164,20211027-60d185,0.26,0.08699999749660492,1.311959981918335,270,55577,2,4
165,20211027-db7858,0.17,0.13687999546527863,0.3851200044155121,440,18743,0,0
166,20211027-82fc86,0.3,0.24476000666618347,0.3062399923801422,28,19283,0,0
167,20211027-2a766d,0.3,0.19023999571800232,0.7632799744606018,270,6028,11,34
168,20211026-b6175c,0.188,0.11020000278949738,0.25867998600006104,240,10198,88,220
169,20211019-cdc70e,0.19,0.12875999510288239,0.2842000126838684,83,4299,1,1
170,20211018-5f8490,0.203,0.11135999858379364,0.2876800000667572,166,50538,25,155
171,20211018-fec714,0.203,0.121799997985363,0.23399999737739563,332,3561,15,25
172,20211012-d99fbe,0.188,0.18199999630451202,0.34200000762939453,47,4037,0,0
173,20211012-cfa474,0.25,0.19023999571800232,0.29811999201774597,188,1792,0,0
174,20211012-becf05,0.188,0.23083999752998352,0.2818799912929535,187,4234,0,0
175,20211011-d88544,0.21,0.06843999773263931,0.2818799912929535,576,45024,184,443
176,20211011-79a710,0.21,0.10440000146627426,0.228520005941391,27,13953,20,61
177,20211005-145d1f,0.256,0.15399999916553497,0.2720000147819519,120,706,10,12
178,20210927-f29886,0.256,0.10000000149011612,0.34299999475479126,120,5750,78,186
179,20211004-6d5ae8,0.25,0.10000000149011612,0.4490000009536743,257,25521,184,1026
180,20211003-2af274,0.188976378,2.887471914291382,5.33298397064209,260,13689,0,0
181,20211001-2a2f0e,6.096,2.02000093460083,10.260004997253418,142,11063,116,683
182,20210927-d24e15,0.256,0.08699999749660492,0.41200000047683716,120,6488,92,349
183,20210927-b38867,0.256,0.15700000524520874,0.257999986410141,120,675,17,28
184,20210802-827ff7,0.26,0.17632000148296356,0.33987998962402344,83,8785,1,2
185,20210802-08feeb,0.26,0.1716800034046173,0.31435999274253845,82,61622,1,5
186,20210801-25d5ca,6.096,3.5099997520446777,10.600000381469727,142,11080,94,257
187,20210730-a0c971,6.3,5.450839996337891,6.8061842918396,69,472,0,0
188,20210728-63d425,6.3,5.185664176940918,7.925816059112549,274,13410,0,0
189,20210623-e2d6d0,6.0,3.3294320106506348,7.336535930633545,88,6723,73,575
190,20210621-db3bc1,0.25,4.773168087005615,7.395463466644287,22,1698,0,0
191,20210618-457955,0.25,3.653535842895508,8.868663787841797,117,7701,0,0
192,20210617-716d0e,0.25,3.653535842895508,8.868663787841797,117,7701,0,0
193,20210606-766262,0.38,0.06400000303983688,0.43963998556137085,68,1021,23,28
194,20210604-a17446,0.28,0.16699999570846558,0.3445200026035309,98,11096,6,7
195,20210601-a6f6ce,0.28,0.13099999725818634,0.33987998962402344,159,23319,16,27
196,20210601-c8d70c,0.28,0.20800000429153442,0.3340800106525421,86,5706,0,0
197,20210520-5832a0,0.165,0.10440000146627426,0.18328000605106354,80,426,9,17
198,20210520-5862b3,0.165,0.0939600020647049,0.26100000739097595,178,2426,32,71
199,20210518-b55430,0.24,0.11832000315189362,0.4187600016593933,89,8906,51,258
200,20210518-0e171e,0.24,0.09511999785900116,0.3387199938297272,16,5863,16,449
201,20210518-585202,0.25,0.18095999956130981,0.3479999899864197,185,42835,0,0
202,20210518-f4a160,0.2,0.1786399930715561,0.28999999165534973,181,7074,0,0
203,20210515-b373e7,0.268,0.11020000278949738,0.3793199956417084,496,104011,470,10095
204,20210513-8ae84a,0.25,0.2199999988079071,0.3131999969482422,8,63,0,0
205,20210505-1c1b79,0.26,0.16123999655246735,0.39555999636650085,270,56851,2,2
206,20210505-bd88db,0.17,0.15080000460147858,0.21807999908924103,440,18919,0,0
207,20210505-fdcc45,0.3,0.2064799964427948,0.30507999658584595,392,17985,1,1
208,20210505-639983,0.26,0.1658799946308136,0.32363998889923096,270,6518,2,3
209,20210501-080ae4,0.165,0.14499999582767487,0.23083999752998352,208,1973,0,0
210,20210430-4ccf9c,0.165,0.15080000460147858,0.1937199980020523,207,1995,0,0
211,20210428-a4f87a,0.165,0.15080000460147858,0.23316000401973724,207,2045,0,0
212,20230727-05e4b6,4.5,4.5,9.300000190734863,159,1418,0,0
213,20210429-e29238,0.165,0.14268000423908234,0.19487999379634857,155,1504,0,0
214,20210414-a2c6f3,0.26,0.002400000113993883,0.09969999641180038,78,4510,78,4510
215,20210414-61ad93,0.26,0.09047999978065491,0.37351998686790466,268,36451,69,255
216,20210414-1240e0,0.26,0.17980000376701355,0.3723599910736084,169,2884,1,1
217,20210414-686667,0.17,0.14499999582767487,0.1937199980020523,8,312,0,0
218,20210414-ba500b,0.26,0.10440000146627426,0.3248000144958496,28,3721,2,14
219,20210413-7a4b55,0.238,0.16471999883651733,0.2505599856376648,47,2503,1,1
220,20210413-7cf595,0.26,0.16008000075817108,0.4002000093460083,167,21562,31,58
221,20210409-1884c7,0.195,0.04500000178813934,0.22968000173568726,14,3133,13,255
222,20210409-3d4d44,0.22,0.15196000039577484,0.243599995970726,497,32840,1,1
223,20210409-9beac7,0.22,0.0812000036239624,0.27955999970436096,677,9542,318,941
224,20210408-26cf61,0.26,0.12296000123023987,0.3468399941921234,268,49273,104,904
225,20210408-ae965d,0.26,9.999999747378752e-05,0.029899999499320984,154,8682,154,8682
226,20210707-4243d1,6.096,2.259999990463257,10.929999351501465,142,9643,121,450
227,20210407-622841,0.22,0.2157599925994873,0.3160000145435333,108,3302,0,0
228,20210329-9559f2,0.24,0.22387999296188354,0.25751999020576477,100,15890,0,0
229,20210325-a8e1e8,0.2,0.08004000037908554,0.247079998254776,613,10404,231,601
230,20210322-11e03a,0.012,0.09999999403953552,24.899999618530273,457,33973,0,0
231,20210316-fd44d7,0.25,0.1310800015926361,0.3190000057220459,280,10369,8,11
232,20210316-331a7e,0.25,0.1125200018286705,0.29811999201774597,279,10509,7,23
233,20210310-d9557f,0.28,0.18675999343395233,0.3630799949169159,143,13869,6,9
234,20210302-1bd822,0.24,0.1252799928188324,0.32363998889923096,114,22420,18,55
235,20210302-ca97f2,0.25,0.09999999403953552,67.80000305175781,316,14360,114,392
236,20210216-6c6138,0.26,0.1937199980020523,0.38047999143600464,156,26247,0,0
237,20210216-44d443,0.26,0.20068000257015228,0.3758400082588196,155,18696,0,0
238,20210216-7d9bfa,0.26,0.08816000074148178,0.3433600068092346,157,4627,6,6
239,20210216-93bec7,0.26,0.2064799964427948,0.30507999658584595,157,5031,0,0
240,20210120-880852,6.604,3.6240720748901367,7.159751892089844,288,55175,1,3
241,20210125-0b2c94,0.205,0.17051999270915985,0.2598400115966797,222,11423,0,0
242,20210125-69c439,0.205,0.19505000114440918,0.2498600035905838,110,916,0,0
243,20210120-784d1a,6.604,4.0660319328308105,7.336535930633545,289,54538,6,11
244,20210105-7be806,6.096,1.7089120149612427,9.958831787109375,141,30518,139,3485
245,20201216-6791a7,0.238,0.1042800024151802,0.3968900144100189,495,90937,186,1035
246,20201215-d0d1d7,0.28,0.18095999956130981,0.35148000717163086,156,15828,4,7
247,20201212-d850ff,0.238,0.1068900004029274,0.37599998712539673,146,2533,55,165
248,20201122-627ca9,0.238,0.12196999788284302,0.38383999466896057,655,172676,312,1390
249,20201116-a705e6,8.128,7.480807781219482,15.251937866210938,144,28756,0,0
250,20201116-84076b,0.25,0.08352000266313553,0.23547999560832977,402,9287,255,1559
251,20201116-46d9db,0.25,0.0719200000166893,0.247079998254776,402,11129,361,3295
252,20201111-9b8b39,0.2,0.09616000205278397,0.3014799952507019,80,10067,14,22
253,20201111-ba8322,0.25,0.1686599999666214,0.30698999762535095,163,17272,2,5
254,20201110-5b37fd,0.25,0.09743999689817429,0.32712000608444214,857,36442,361,5542
255,20201110-50c594,0.25,0.19389000535011292,0.3156900107860565,103,3004,0,0
256,20201106-afc7e0,0.25,0.12052000313997269,0.28988000750541687,866,44149,386,5515
257,20201106-40276d,0.25,0.19417999684810638,0.24869999289512634,116,8758,0,0
258,20201104-c5ea51,0.2,0.12921999394893646,0.26291000843048096,79,5013,8,9
259,20201103-ed9b7e,0.28,0.09279999881982803,0.31784000992774963,547,23411,6,8
260,20201102-3e6dbb,0.256,0.08021000027656555,0.34266000986099243,115,20708,114,3392
261,20201102-c9255d,0.256,0.125450000166893,0.2362300008535385,120,1978,60,283
262,20201030-f78847,0.25,0.1306699961423874,0.33744001388549805,237,42571,4,4
263,20201026-1dd557,0.256,0.15705999732017517,0.2414499968290329,98,1389,18,96
264,20201026-9a36ee,0.256,0.07904999703168869,0.37485000491142273,116,20893,114,2247
265,20201019-3e1ae4,0.24,0.1068900004029274,0.3420799970626831,162,12423,52,226
266,20201019-643168,0.24,0.07237999886274338,0.3165600001811981,34,1531,7,68
267,20201019-d3fff3,0.28,0.20880000293254852,0.35148000717163086,55,324,0,0
268,20201019-4cf54b,0.24,0.2017199993133545,0.2687099874019623,163,2183,0,0
269,20201016-b04e5f,0.23,0.17011000216007233,0.29771000146865845,430,90013,0,0
270,20201016-c07763,0.23,0.09731999784708023,0.3107599914073944,429,27542,113,338
271,20201014-4106ff,0.26,0.17184999585151672,0.37455999851226807,270,57186,1,2
272,20201014-cb5238,0.17,0.12863999605178833,0.21883000433444977,440,18961,0,0
273,20201014-6cf8e1,0.3,0.23274999856948853,0.3386000096797943,28,18964,0,0
274,20201014-8de5fd,0.3,0.18675999343395233,0.38499999046325684,270,6642,8,18
275,20201013-ce9b1a,0.21,0.14053000509738922,0.2759599983692169,27,13607,3,8
276,20201013-6b5e5b,0.203,0.10283000022172928,0.37571999430656433,182,32106,18,39
277,20201012-20110d,0.18,0.10978999733924866,0.22492000460624695,229,18417,39,78
278,20201010-6a53ad,0.25,0.09210000187158585,0.2997399866580963,184,55181,111,1492
279,20201010-738ac6,0.26,0.19795000553131104,0.2811799943447113,153,5897,0,0
280,20201010-42cc83,0.25,0.23507000505924225,0.2863999903202057,157,2177,0,0
281,20201010-50b300,0.25,0.2202800065279007,0.2811799943447113,180,3405,0,0
282,20201009-b6b9d8,0.21,0.11181999742984772,0.24463999271392822,586,45749,129,304
283,20201006-cdbadb,0.314,0.25971999764442444,0.3571600019931793,190,8029,0,0
284,20201006-1e94ab,0.314,0.22550000250339508,0.3478800058364868,190,7956,0,0
285,20201003-e96b8c,0.24,0.0949999988079071,0.3059999942779541,420,21624,40,172
286,20201003-3d87aa,0.24,0.05671999976038933,0.26958000659942627,26,8943,26,274
287,20201003-9d9866,0.317,0.3006100058555603,0.3751400113105774,20,9322,0,0
288,20201001-9b346c,0.22,2.825495958328247,8.246871948242188,121,23447,0,0
289,20201001-6df89d,0.22,4.2324018478393555,6.442202091217041,24,7056,0,0
290,20201001-8052a2,0.2,4.887976169586182,6.059170246124268,30,4392,0,0
291,20201001-347e43,6.096,3.0,9.929999351501465,144,5231,87,148
292,20200830-dcaa69,5.588,2.6339797973632812,8.349995613098145,121,26069,94,527
293,20200830-44305b,5.08,4.040885925292969,5.963411808013916,30,4410,0,0
294,20200830-d7337a,5.56,4.293785572052002,6.282605171203613,24,7046,0,0
