Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 20,boiler-unit-20-a9c88c,roof-2bb07c,20211207-b22e13,0.165,0.1,
Engie,Engie Chile,Chile,CTH,cth-46288c,cth-d823ca,20211204-2a4dad,,,
Engie,Engie Chile,Chile,CTA,cta-6b0ed5,waterwalls-ef3e6e,20211204-ed0977,,,
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1,scattergood-u2-5a1562,division-walls-aec88a,20211129-b7301c,0.28,0.2,
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1,scattergood-u2-5a1562,division-wall-b80d5e,20211202-a0e9d6,0.28,0.25,0
GS EPS,Dangjin,Korea,Unit #1,unit-1-8cf440,waterwalls-992242,20211201-3396ee,6.096,3.2,
Consolidated Edison Company of New York (Corporate),CONED - East River Generating Station,New York,Unit 60,unit-60-b21b04,lower-side-walls-763e4a,20211201-17434b,,,
Santee Cooper,Santee Cooper - Cross Generating Station,Pineville,Unit 4,cross-unit-4-waterwalls-4d6eac,waterwalls-99ed3e,20211130-cf1f82,0.25,0.1,0
Consolidated Edison Company of New York (Corporate),CONED - East River Generating Station,New York,Unit 60,unit-60-b21b04,east-wall-arch-dc58c4,20211130-ec3e26,,,
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1,scattergood-u2-5a1562,front-wall-134120,20211129-71acac,0.28,0.25,0
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1,scattergood-u2-5a1562,front-wall-134120,20211129-d0f5b8,0.28,0.25,0
Consolidated Edison Company of New York (Corporate),CONED - East River Generating Station,New York,Unit 60,unit-60-b21b04,waterwalls-ec870c,20211129-8e0bf4,0.4,0.2,0
Consolidated Edison Company of New York (Corporate),CONED - East River Generating Station,New York,Unit 60,unit-60-b21b04,west-wall-arch-12238b,20211129-252f67,0.4,0.253,
ALCOA,Warrick Power Station,Newburgh,Unit 4 Division Wall,unit-4-division-wall-eee651,division-wall-603959,20211227-db8fa3,0.24,0,0
APS,Cholla Power Plant,Joseph City,Unit 3 Boiler,unit-3-boiler-043d04,lower-slopes-111ffd,20211115-224d14,0.1875,0.1,0
Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 20,boiler-unit-20-a9c88c,lower-slopes-a5fb62,20211115-4649e9,0.165,0,0
Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 20,boiler-unit-20-a9c88c,floor-cb74c8,20211115-67ad16,0.165,0,0
APS,Cholla Power Plant,Joseph City,Unit 1 Boiler,unit-1-boiler-fc4ce3,front-rear-walls-11223d,20211115-9d8404,0.28,0,0
APS,Cholla Power Plant,Joseph City,Unit 3 Boiler,unit-3-boiler-043d04,front-rear-walls-77159d,20211115-4ae943,0.2,0.1,0
Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 20,boiler-unit-20-a9c88c,waterwalls-679342,20211115-b107fb,,,
GS EPS,Dangjin,Korea,Unit #2,unit-2-72d1be,watewalls-1974de,20211110-94db67,8.128,4,
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,waterwalls-08309d,20211109-5c2840,0.25,0.15,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20211027-60d185,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20211027-db7858,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20211027-82fc86,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,boiler-roof-039fca,20211027-2a766d,0.3,0.234,0
Kentucky Utilities,Ghent Generating Station,Ghent,Unit 2,unit-2-3cfa1a,lower-slopes-968292,20211026-b6175c,0.188,0.12,0
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 2,unit-2-939dd9,division-wall-0659da,20211019-cdc70e,0.19,0,0
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 2,unit-2-939dd9,waterwalls-83a0b0,20211018-5f8490,0.203,0.15,
East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 2,unit-2-939dd9,lower-slopes-1bd90b,20211018-fec714,0.203,0.16,
Southern Co,Plant Yates,Newnan,Unit 6,unit-6-0f16c9,waterwalls-99ffd4,20211012-d99fbe,0.188,0.16,0
Southern Co,Plant Yates,Newnan,Unit 6,unit-6-0f16c9,lower-nose-arch-25c515,20211012-cfa474,0.25,0.1,
Southern Co,Plant Yates,Newnan,Unit 6,unit-6-0f16c9,upper-bc4fa7,20211012-becf05,0.188,0.1,
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20211011-d88544,0.21,0.15,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20211011-79a710,0.21,0.15,0
AMBIT,Grant Town Power Plant,Grant Town,Unit B,unit-b-a1005a,roof-3b8741,20211005-145d1f,0.256,0.18,
AMBIT,Grant Town Power Plant,Grant Town,Unit B,unit-b-a1005a,waterwalls-24d1c8,20210927-f29886,0.256,0.18,
Santee Cooper,Santee Cooper - Cross Generating Station,Pineville,Unit 4,cross-unit-4-waterwalls-4d6eac,waterwalls-99ed3e,20211004-6d5ae8,0.25,0.1,0
Rio Tinto,Yarwun,Gladstone Central,PC boiler,pc-boiler-0ccf59,waterwalls-075f51,20211003-2af274,0.188976378,3.4,0
GS EPS,Dangjin,Korea,Unit #1,unit-1-8cf440,waterwalls-992242,20211001-2a2f0e,6.096,3.2,
AMBIT,Grant Town Power Plant,Grant Town,Unit A,boiler-a-99f927,waterwalls-9acc54,20210927-d24e15,0.256,0.2,0
AMBIT,Grant Town Power Plant,Grant Town,Unit A,boiler-a-99f927,roof-f31c82,20210927-b38867,0.256,0.2,0
Consolidated Edison Company of New York (Corporate),CONED - 74th Street,New York,Unit 120,unit-120-b7adc8,slopes-eceefd,20210802-827ff7,0.26,0.2,0
Consolidated Edison Company of New York (Corporate),CONED - 74th Street,New York,Unit 120,unit-120-b7adc8,waterwalls-92867c,20210802-08feeb,0.26,0.12,0
GS EPS,Dangjin,Korea,Unit #1,unit-1-8cf440,waterwalls-992242,20210801-25d5ca,6.096,3.2,
Vantaan - Jarvenpaan CHP,Vantaan - Jarvenpaan CHP,JÃ¤rvenpÃ¤Ã¤,BFB Boiler,bfb-boiler-e32713,nose-arch-4b8f59,20210730-a0c971,6.3,6,0
Vantaan - Jarvenpaan CHP,Vantaan - Jarvenpaan CHP,JÃ¤rvenpÃ¤Ã¤,BFB Boiler,bfb-boiler-e32713,waterwalls-a924ee,20210728-63d425,6.3,5.6,0
